"Subject" "StartTime" "Range" "RealAngle" "Error" "ResponseAngle" "RealTime"
2 159 0 317 -25.962489 291.037511 659
2 159 0 194 -22.1301024 171.869898 659
2 159 0 251 -21.6012946 229.398705 659
2 159 0 37 -20.6104597 16.3895403 659
2 159 0 121 -12.5650512 108.434949 659
2 159 0 293 -13.217593 279.782407 659
2 159 0 326 -24.3924978 301.607502 659
2 159 0 196 -7.86989765 188.130102 659
2 159 0 202 -22 180 659
2 159 0 73 -22.8055711 50.1944289 659
2 150 100 46 -21.2248594 24.7751406 719
2 150 100 199 -37.4349488 161.565051 656
2 150 100 308 -20.897271 287.102729 733
2 150 100 192 -12 180 709
2 150 100 275 -22.102729 252.897271 698
2 150 100 308 -28.5376778 279.462322 750
2 150 100 59 -11.5104471 47.4895529 680
2 150 100 120 -11.5650512 108.434949 706
2 150 100 123 -21.6900675 101.309932 657
2 150 100 150 -31.3895403 118.61046 739
2 150 100 159 -36.9946168 122.005383 732
2 100 200 167 -15.0724869 151.927513 641
2 100 200 185 -23.4349488 161.565051 774
2 100 200 213 -39.3401917 173.659808 771
2 100 200 164 -10.5650512 153.434949 643
2 100 200 172 -18.5650512 153.434949 787
2 100 200 265 -9.89347296 255.106527 607
2 100 200 123 -18.9637565 104.036243 781
2 100 200 222 -42 180 771
2 100 200 284 -21.1250163 262.874984 759
2 100 200 48 -24.037511 23.962489 702
2 100 200 100 -10 90 799
2 100 200 56 -32.8014095 23.1985905 721
2 175 50 165 -18.6900675 146.309932 701
2 175 50 323 -27.7222778 295.277722 692
2 175 50 343 -24.8201699 318.17983 724
2 175 50 346 -17.3286929 328.671307 697
2 175 50 94 -23.6538241 70.3461759 711
2 175 50 32 -17.0685828 14.9314172 694
2 175 50 251 -44.4349488 206.565051 718
2 175 50 114 -9.96375653 104.036243 709
2 175 50 85 -23.6104597 61.3895403 709
2 175 50 206 -26 180 710
2 175 50 285 -33.4349488 251.565051 699
2 175 50 137 -16.7435628 120.256437 681
2 150 100 162 -36.4623222 125.537678 739
2 150 100 102 -20.7461623 81.2538377 711
2 150 100 351 -9.1890457 341.810954 654
2 150 100 183 -15.5288077 167.471192 676
2 150 100 349 -11.8336542 337.166346 719
2 150 100 44 -28.2913622 15.7086378 679
2 150 100 309 -24.4655449 284.534455 744
